Title,year,Rating,Run Time,imdb_rating,Budget,Gross_worldwide,Director,Metascore
Judgment at Nuremberg,1961,Approved,2h 59m,8.3,"$3,000,000 (estimated)","$12,180",Stanley Kramer,60
Barry Lyndon,1975,PG,3h 5m,8.1,"$11,000,000 (estimated)","$198,992",Stanley Kubrick,89
Before Sunrise,1995,R,1h 41m,8.1,"$2,500,000 (estimated)","$5,987,386",Richard Linklater,77
Mary and Max,2009,Not Rated,1h 32m,8.1,"A$8,240,000 (estimated)","$1,740,429",Adam Elliot,null
The Secret in Their Eyes,2009,R,2h 9m,8.2,"$2,000,000 (estimated)","$35,079,650",Juan José Campanella,80
"Lock, Stock and Two Smoking Barrels",1998,R,1h 47m,8.2,"£960,000 (estimated)","$3,753,929",Guy Ritchie,66
"Three Billboards Outside Ebbing, Missouri",2017,R,1h 55m,8.1,"$15,000,000 (estimated)","$160,260,573",Martin McDonagh,88
"Monsters, Inc.",2001,G,1h 32m,8.1,"$115,000,000 (estimated)","$579,707,738",Pete Docter,79
The Sound of Music,1965,G,2h 52m,8.1,"$8,200,000 (estimated)","$159,428,329",Robert Wise,63
Heat,1995,R,2h 50m,8.3,"$60,000,000 (estimated)","$187,436,818",Michael Mann,76
The Father,2020,PG-13,1h 37m,8.3,null,"$24,517,755",Florian Zeller,88
Metropolis,1927,Not Rated,2h 33m,8.3,"DEM 6,000,000 (estimated)","$1,349,711",Fritz Lang,98
Hara-Kiri,1962,Not Rated,2h 13m,8.6,null,"$15,222",Masaki Kobayashi,85
City of God,2002,R,2h 10m,8.6,"R$3,300,000 (estimated)","$30,680,793",Fernando Meirelles,79
The Terminator,1984,R,1h 47m,8.1,"$6,400,000 (estimated)","$78,371,200",James Cameron,84
Scarface,1983,R,2h 50m,8.3,"$25,000,000 (estimated)","$65,884,703",Brian De Palma,65
Double Indemnity,1944,Passed,1h 47m,8.3,"$927,262 (estimated)","$14,190",Billy Wilder,95
Wild Strawberries,1957,Not Rated,1h 31m,8.1,null,"$14,524",Ingmar Bergman,88
Chinatown,1974,R,2h 10m,8.2,"$6,000,000 (estimated)","$29,225,935",Roman Polanski,92
Shutter Island,2010,R,2h 18m,8.2,"$80,000,000 (estimated)","$294,805,697",Martin Scorsese,63
